text,label
Lên lịch buổi chia sẻ kinh nghiệm chốt sale bất động sản vào tối thứ 4 tuần này.,Lên lịch họp
sếp phân công lại rạch ròi mấy cái task của dự án này đi chứ anh em đang bị rối,Giao việc
t rep mail lại r nha báo sếp Sơn vs sếp Tuấn là t k tham gia 2 cái sự kiện sắp tới đc r m xem a Minh có đi thay t đc k nhe,Gửi/Trả lời email
vô figma approve cái wireframe màn hình thanh toán t mới sửa lại nha,Phê duyệt
Chị sang bên team system xem tiến độ cài đặt server tới đâu rồi,Giao việc
Set meeting hướng dẫn team CSKH xài tính năng gọi điện trên CRM mới lúc 9h sáng mai.,Lên lịch họp
Sơn tạo file log ghi nhận thời điểm server tự động bật tính năng auto-scaling đợt sale,Soạn báo cáo
9h sáng mai Cường setup xong link webinar gửi kh nha,Tạo nhắc nhở
nhắc sếp Quân follow up lại cái request của bên khách hàng nha,Tạo nhắc nhở
c Hương lên outline cho bài PR báo dântrí trc ngày mai nhen,Tạo nhắc nhở
Do tệp anh Lâm gửi lại bị khóa chỉ đọc họ phải sao chép dữ liệu sang một tệp mới hoàn toàn,Soạn báo cáo
Sếp Tuấn vào đọc tài liệu rồi comment feedback lại cho em trên đó nha,Giao việc
Quế duyệt uỷ nhiệm chi trả tiền mặt bằng kho tháng này đi c,Phê duyệt
A Tuấn check rồi bổ sung thêm vô cái list quy trình rep khách nha,Giao việc
a Sơn gửi mail chia sẻ ý kiến đánh giá về hệ thống r nha team,Gửi/Trả lời email
Phụng attach mấy tấm hình feedback lỗi sp vô mail gửi nhà máy,Gửi/Trả lời email
Gửi thư mời họp giao ban định kỳ sáng thứ 2 cho tất cả các trưởng phòng giúp sếp nhé.,Lên lịch họp
Liễu vô tk công ty renew cái server aws trc ngày mai k bị ngưng dịch vụ á,Tạo nhắc nhở
Phúc lên elearning làm xong bài test traning sp mới trc eod mai nha,Tạo nhắc nhở
Set lịch call với support của Google Cloud để giải trình bill tháng trước sáng thứ 2.,Lên lịch họp
Lan book phòng họp nhỏ chiều nay 2h để gặp khách VIP kí hợp đồng nhé.,Lên lịch họp
Khuyên soạn document giải trình nguyên nhân gốc rễ vụ app bị downtime 30p tối hôm qua nhe,Soạn báo cáo
Vũ sắp xếp buổi test nếm thử menu tiệc tất niên với bên nhà hàng chiều thứ 6.,Lên lịch họp
Vy rảnh k làm luôn bc seo ranking tuần này r ném t,Soạn báo cáo
lớp vẫn chạy bth r m qua gặp sếp Kiên bàn kĩ thêm về cái nội dung kĩ thuật nhe,Lên lịch họp
cafe bánh kẹo pantry hết sạch sành sanh r Ngọc mua bổ sung thêm trc 2h chiều nay lẹ e,Tạo nhắc nhở
Tuấn lên file báo cáo tình hình sử dụng ngân sách mkt tháng 5 đi,Soạn báo cáo
Lên lịch họp trù bị cho chuyến đi offsite hoạch định chiến lược của ban giám đốc chiều t3.,Lên lịch họp
công ty chuẩn bị tổ chức họp qua điện thoại với anh Lâm bên phía đối tác,Lên lịch họp
Đôn viết báo cáo đánh giá hiệu quả kinh tế của version giao diện thắng giải đợt a/b test,Soạn báo cáo
Chi liên hệ bên mua gói seeding group fb thanh toán luôn trc 5h chiều nay cho kịp KPI,Tạo nhắc nhở
tiến soạn document phân tích nguyên nhân gốc rễ vụ gọi API bị timeout liên tục trưa nay,Soạn báo cáo
Yến làm báo cáo tính ROI của dàn KOL review mĩ phẩm đợt rồi đi m,Soạn báo cáo
Chị Yến rất thông cảm và thậm chí còn từ chối nhận chiếc đĩa CD nhạc mà anh Toàn định tặng bù,Gửi/Trả lời email
cuối cùng chị Bích nhờ anh Hải gửi lại cho cô một bản sao của tệp báo cáo tổng hợp kết quả kiểm tra qua email,Gửi/Trả lời email
Tuấn Anh cấp quyền admin hệ thống cho 2 b tester mới trc 9h sáng mai dùm a,Tạo nhắc nhở
Dũng gửi gấp cái link hệ thống báo cáo lỗi cho a vô test lại nha,Giao việc
Lan gửi bản cập nhật product lộ trình sản phẩm cho toàn nhóm theo yêu cầu của Nam nhé,Gửi/Trả lời email
Do có quá nhiều ý kiến đóng góp anh Tài đã hẹn gặp trực tiếp anh Khang vào thứ tư để trao đổi chi tiết và anh Khang đã xác nhận lịch hẹn này,Lên lịch họp
Vũ setup gửi email newsletter cho subscibers trc 9h sáng t6 nghen,Tạo nhắc nhở
m đi khảo sát giá mấy cái laptop đồ hoạ bên Phong Vũ r báo lại t gấp nha để t trình sếp Duy xin kinh phí mua mới,Giao việc
c Mai lập bảng báo cáo dự phóng so sánh chi phí thuê và mua đứt văn phòng đi ạ,Soạn báo cáo
em Hà theo dõi vụ chuyển phòng của Bithi xem mọi thứ đã ổn chưa nhé,Giao việc
Lên lịch họp với ban quản lý tòa nhà bàn phương án diễn tập PCCC t4 tuần sau nhe,Lên lịch họp
Tú duyệt danh sách 10 KOL cho chiến dịch ra mắt app mới chiều nay nhé,Phê duyệt
Bích ra máy in kéo hết đống mã vận đơn tiktok shop ra dán trc 10h sáng cbi giao,Tạo nhắc nhở
Khoa duyệt request nâng cấp máy chủ lên hệ điều hành 2.7 cho toàn bộ hệ thống nhé,Phê duyệt
Trâm lập bảng báo cáo chấm điểm các agency sau buổi pitching hqua,Soạn báo cáo
Khoa ơi viết bản hướng dẫn sử dụng cổng ứng dụng di động theo phản hồi của Ray nhé,Soạn báo cáo
mai ae mình call nhanh 15p chốt lại cái project LC2000 nha Thảo,Lên lịch họp
Tuấn phân công Lan viết script test cho ứng dụng cảm ứng rồi gửi cho John review nhé,Giao việc
Liên hệ với team vận hành để xin thêm thông tin về cái quy trình làm việc mới đi m,Giao việc
Liên lập bảng xếp hạng điểm số bảo vệ đề tài cuối khóa của lứa intern đợt này nha,Soạn báo cáo
sếp duyệt giùm em cái đề xuất mua thêm mấy bộ tua vít cho phòng vận hành nha,Phê duyệt
"mn ơi xếp lịch gặp khách hàng lớn vào cuối tháng, cần chuẩn bị kỹ nên báo sớm",Lên lịch họp
chốt mấy cái action item sau buổi sprint retro hqua rùi log lên jira nha,Phê duyệt
sếp nhờ m report cái lỗi scriptease sang cho bên vendor Nombas xử lý gấp trong chiều nay vì khách đang hối quá trời k kịp demo ngày mai r nha,Giao việc
2 em rảnh giờ nào để anh book meeting,Lên lịch họp
chị kim cho e xin link folder mkt assets qua mail ạ,Gửi/Trả lời email
Thạch viết báo cáo đánh giá phiên bản giao diện nào hiệu quả hơn sau đợt a/b test app nha,Soạn báo cáo
chị Lai reply mail của vendor confirm cái số lượng hàng nhập tháng này giùm e,Gửi/Trả lời email
Book lịch họp định kỳ với các trưởng ca nhà máy vào 4h chiều t5 hàng tuần.,Lên lịch họp
Hẹn team dịch thuật họp chốt bộ từ vựng tiếng Nhật cho app vào 4h chiều t5.,Lên lịch họp
Bạn chỉnh lại css cho 2 cái nút đó đồng bộ màu với nhau đi,Giao việc
Hiệp xuất file báo cáo chi phí dùng google cloud của 3 tháng gần nhất,Soạn báo cáo
em gửi cái file slide thuyết trình đính kèm qua email nhờ sếp feedback giùm nghen,Gửi/Trả lời email
M hỏi sếp Tuấn coi a Minh nhận đc đủ tài liệu chưa nhe do ổng lo chưa bàn giao chính thức r lỡ có sai sót gì ổng k chịu trách nhiệm đâu,Giao việc
A duyệt dùm e cái yêu cầu mở tài khoản để tạo thư tín dụng dự phòng nhe để e còn gửi cho ngân hàng họ làm thủ tục trước nghỉ lễ,Phê duyệt
tối nay ae gặp nhau ở chỗ anh Tuấn chốt nốt nha,Lên lịch họp
Thủy làm file excel báo cáo doanh thu mảng affiliate tháng rồi đi e,Soạn báo cáo
Thảo ném cái hướng dẫn qua cho c Mai nhe,Giao việc
m coi lại chỗ file xml device tree xem nó nằm đâu trong project r báo lại a để team còn biết đường reuse cho mấy node khác trong phase 2 nhe,Giao việc
Vy dọn dẹp phân khu hàng móp méo hỏng trả về đẩy ra 1 góc trc 5h chiều nay,Tạo nhắc nhở
Từ sau m nhớ nhắc khách nén file lại trước khi gửi mail cho an toàn nhé,Tạo nhắc nhở
Sếp Sơn ổng hỏi mn coi ai test cái app r thì báo ổng nhe ổng lo k kịp deadline nên hối mn test nhanh r đưa feedback cho ổng nhe,Giao việc
Mọi người từ từ chốt thời gian họp r fix lỗi cho xong trước đã nha,Lên lịch họp
em Hà đặt call với chị Linh để bàn về đối tác công nghệ lab hợp đồng vào chiều nay luôn nhé,Lên lịch họp
Mai a Tuấn rảnh thì đi chơi bóng rổ vs team nha,Gửi/Trả lời email
Lệ lập bảng thống kê lưu lượng khách vào cửa hàng offline theo từng khung giờ ngày hnay,Soạn báo cáo
C Lan update bản phân tích cân bằng tải r gửi sếp Dũng nha,Giao việc
tính Soạn thảo chi tiết chi phí phát sinh do server kích hoạt auto-scaling tháng trước,Soạn báo cáo
bộ phận hỗ trợ duyệt đóng phiếu r đánh dấu sự cố đã xử lý xong,Phê duyệt
Anh em ráng nghĩ thêm vài cái tên cho đội bóng chuyền công ty đợt này nha,Soạn báo cáo
Khung giờ 1-2h chiều nay họp review với anh Minh được không mọi người,Lên lịch họp
Phong làm báo cáo tồn kho tại các nhà phân phối miền bắc tháng 11,Soạn báo cáo
soạn mail báo giá mấy cái model mới gửi qua cho team sale giùm c,Gửi/Trả lời email
Cúc xem rùi duyệt báo giá đổi nhà cung cấp màng co đóng gói sp đi m,Phê duyệt
lộc xuất data làm báo cáo tỉ lệ click qua (CTR) của các chiến dịch push noti tháng này,Soạn báo cáo
"chuyển tiếp email xác nhận từ đội vận chuyển cho Steve ngay nhé, họ đang đợi tin",Gửi/Trả lời email
Tuấn follow up với đối tác lớn về kết quả pitching tuần trước xem họ có phản hồi gì không,Giao việc
Nam tổng hợp lại info r update cho bên dev giùm c,Giao việc
Anh Hưng cho rằng nguyên nhân chính dẫn đến sự thất bại là do các công ty không đủ năng lực tự vận hành hệ thống nội bộ của mình,Soạn báo cáo
Trực rep mail xin lỗi khách và gửi kèm cái voucher 50k nha,Gửi/Trả lời email
bé Lan check lại file thiết kế banner r gửi cho bên in ấn trc giờ nghỉ trưa nay nhe để chiều họ giao luôn cho kịp event,Giao việc
đính kèm cái file excel tính ROI của campaign đợt rồi vô mail gửi sếp xem trc,Gửi/Trả lời email
Phi confirm mức discount 15% cho khách VIP bên Bình Dương đi a,Phê duyệt
Nam rename lại cái file thiết kế này cho đúng chuẩn naming convention giúp anh,Giao việc
"Hà check với Linh xem lịch đào tạo chi nhánh đã xác nhận chưa, bạn ấy đang hỏi",Giao việc
duyệt cái nội dung tin nhắn SMS quảng cáo để chiều blast gửi KH nha,Phê duyệt
bạn xử lý giùm tui cái issue này rồi gửi luôn danh thiếp của Dave cho khách nha,Giao việc
Dũng hỏi lại ông Sơn xem ông đó có liên hệ lại với team mình chưa,Giao việc
Sếp cf coi có cần tách riêng cái hóa đơn khách sạn ra khỏi tổng chi phí công tác không nha,Phê duyệt
Viễn sửa lại mầu logo brand theo feedback của sếp r gửi lại trc eod t4 m nhe,Tạo nhắc nhở
trưởng phòng Hà ơi cái phần mềm thiết kế hình ảnh của bộ phận truyền thông ngày mai là hết hạn bản quyền sử dụng rồi ạ. Phần mềm này rất quan trọng để các bạn chỉnh sửa băng rôn và bảng hiệu quảng cáo cho sự kiện ra mắt chi nhánh mới vào cuối tháng này. C kiểm tra bảng thông báo giá rồi phê duyệt chi phí gia hạn phần mềm thiết kế để em dùng thẻ tín dụng công ty thanh toán luôn nha chị,Phê duyệt
chị Trang cần gom thông tin này để phản hồi lại cho khách hàng vào ngày mai,Gửi/Trả lời email
A xin thông tin liên hệ của nhà cung cấp này đi do đợt này bên mình cần nhập thêm mấy cái server dự phòng r mà k biết ai uy tín,Giao việc
Yến set lịch gửi email newsletter cho data khách cũ trc ngày 25 tháng này,Tạo nhắc nhở
Anh Hùng quyết định ưu tiên chạy test sau khi fix xong mấy cái lỗi hồi quy nhe,Giao việc
A Sơn nhờ mọi người rà soát list coi có lỗi sai gì k trước khi gửi bản cuối cho a Tuấn nhe,Giao việc
Anh Hùng ráng set lịch họp vs team kỹ thuật sang chiều thứ ba đi vì e k muốn đánh giá dự án khi chưa hiểu rõ bài toán kinh doanh đâu,Lên lịch họp
Tuấn check mail r fwd cái invoice tháng 3 qua cho kế toán giùm a nhé,Gửi/Trả lời email
M hỏi lão Minh coi có biết ổng cài đặt Outlook sao k nhe để t qua support ổng r chỉnh lại luôn r m báo lại ổng giùm t nha,Giao việc
anh Hải vừa gửi cho nhóm danh sách chi tiết các công ty lớn đang đầu tư chuyển đổi sang nền tảng mạng không dây cho các ứng dụng như email và lịch làm việc,Soạn báo cáo
lên nhắc nhở t2 tuần sau mở form đăng ký lớp First Aid,Tạo nhắc nhở
Book lịch gặp bên thi công nội thất để chốt vật liệu làm văn phòng mới chiều mai.,Lên lịch họp
giám đốc Ngọc ơi bạn Hùng nhân viên thiết kế đồ họa đã hoàn thành xuất sắc hai tháng thử việc với rất nhiều lời khen từ các quản lý bộ phận khác rồi ạ. em thấy năng lực của bạn ấy hoàn toàn đáp ứng được vị trí nhân viên chính thức của công ty. chị dành chút thời gian phê duyệt quyết định bổ nhiệm nhân viên chính thức để em thông báo tin vui cho bạn ấy nhé chị.,Phê duyệt
Bình gửi email cái mã vận đơn cho bên giao hàng để họ tra cứu nhe,Gửi/Trả lời email
Đồng setup camp r cắn tiền chạy ads tiktok trc 12h đêm nay nha,Tạo nhắc nhở
Bình ơi sếp tổng kí bảng lương có mộc đỏ trên base hồi trưa r á m. hnay mùng 5 r ae đang há hốc mồm ngóng lúa về tk để đóng tiền nhà tiền tã sữa cho con kìa m. m đẩy lệnh lên nh r duyệt ck lương cho nhân viên trc 2h chiều hnay giùm t nhen k ae nó đình công đi nhậu h,Tạo nhắc nhở
Lên lịch họp với ban giám đốc báo cáo dòng tiền tháng trước vào chiều t3 nha.,Lên lịch họp
công ty đang tiến hành kiểm tra hệ thống email nội bộ do một số nhân sự gặp lỗi không nhận được thư từ bên ngoài gửi vào,Gửi/Trả lời email
chị báo lại vs bên IT đổi cái máy bàn của ông Dave sang laptop giùm e vì tính chất công việc ổng hay phải đi support khách hàng tận nơi á,Giao việc
m vào ga4 kéo data làm file bc traffic app tuần vừa r đi Hải,Soạn báo cáo
Dũng làm file báo cáo tracking chỉ số CPA của chiến dịch google ads tuần này,Soạn báo cáo
Trâm fwd cái file excel feedback của KH sang mail cho team product nha,Gửi/Trả lời email
Tín quăng em link dashboard google analytics của web mình qua mail với,Gửi/Trả lời email
Trọng chốt phương án upgrade server AWS để t báo team infra triển khai,Phê duyệt
Bà Lan bả đề xuất mình nên tính phí cố định cho data plan nhe r tính thêm phí theo lượt truy cập m rảnh thì vô báo giá lại cho khách r gửi lại bả nha,Giao việc
c Linh trực tiếp hướng dẫn a Hùng trong dự án này từ giờ luôn nhe,Giao việc
Sơn check đt lấy cái số của lão Tuấn t vừa nhắn nha r m gọi đt nhắc ổng mở cái roaming quốc tế lên k đi công tác lại mất liên lạc,Giao việc
sếp xem qua cái đề xuất chi 500 đô thuê chuyên gia tư vấn r duyệt sớm giùm e nha k thôi chiều nay họ nghỉ làm là khỏi hỏi luôn,Phê duyệt
Phong push code lên nhánh dev trc 6h tối nay r hẵng nghỉ,Tạo nhắc nhở
Mình dời cái lịch họp review kết quả kinh doanh với team sale sang chiều thứ 3 tuần sau nha mọi người,Lên lịch họp
Sếp Minh chốt dời lịch họp vs đối tác Etrade sang 5h chiều nay r nha,Lên lịch họp
Mơ lập bảng thống kê nguyên nhân hoàn đơn RTO của tuần này nha,Soạn báo cáo
Tuệ check email lấy thư mời tham gia hội thảo tuần sau nha,Gửi/Trả lời email
Lan ơi tình hình bán hàng tháng này của chi nhánh miền trung có vẻ đang chậm lại nhiều so với tháng trước rồi đó. chị nghi ngờ do đối thủ mới tung ra chương trình khuyến mãi giảm giá sâu. em gom hết số liệu hóa đơn từ đầu tháng đến giờ rồi làm báo cáo tình hình doanh thu khu vực miền trung gửi cho chị xem để chị tìm cách xử lý nhé.,Soạn báo cáo
Đạt duyệt ngân sách khóa học chứng chỉ PMP cho dàn tech lead giùm e,Phê duyệt
Thắng check lại tiêu chí r làm bc đánh giá nhà cung cấp đợt 1 đi a,Soạn báo cáo
m bổ sung thêm mấy cái mô tả với list file đính kèm vào trong email giao hàng nha,Soạn báo cáo
lên file tracking tỉ lệ chuyển đổi số data khách hàng thu về từ sự kiện offline hqua nhe,Soạn báo cáo
Giao làm cái mass email thông báo nghỉ lễ 30/4 đính kèm file thông báo gửi toàn bộ user,Gửi/Trả lời email
Linh duyệt bảng phân ca trực cho tổng đài viên tuần sau,Phê duyệt
Lan báo sếp Tuấn là cái lỗi bộ nhớ được fix xong r nha m rảnh thì vô bugzilla update lại status giùm t nhe để sếp khỏi cằn nhằn,Giao việc
